ID	char	pua	romanized	symbol
SD-A9C0	念	U+1049C0	jrī	
SD-A9C3	怔	U+1049C3	jre	
SD-A9C4	怯	U+1049C4	jrai	
SD-A9C5	怵	U+1049C5	jro	
SD-A9C7	怪	U+1049C7	jraṃ	
SD-A9C8	怕	U+1049C8	jraḥ	
SD-A9E1	抨	U+1049E1	ṭra	
SD-A9E5	拙	U+1049E5	ṭru	
SD-A9E9	拚	U+1049E9	ṭro	
SD-A9EB	拘	U+1049EB	ṭraṃ	
SD-AA40	昇	U+104A40	ḍre	
SD-AA44	枋	U+104A44	ḍraṃ	
SD-AA5E	氛	U+104A5E	tra	
SD-AA5F	泣	U+104A5F	trā	
SD-AA60	注	U+104A60	tri	
SD-AA61	泳	U+104A61	trī	
SD-AA62	沱	U+104A62	tru	
SD-AA63	泌	U+104A63	trū	
SD-AA64	泥	U+104A64	tre	
SD-AA65	河	U+104A65	trai	
